period,posts,avg_sentiment,positive_rate,negative_rate,rolling_mean,rolling_std,z_score,trend_flag
2017-01-10,52,0.5384615384615384,0.6923076923076923,0.15384615384615385,0.779027002654273,0.12075550287091154,-1.9921697850068227,normal
2017-01-11,40,0.825,0.9,0.075,0.7911698597971302,0.12045027710862762,0.28086394664215014,normal
2017-01-12,53,0.7358490566037735,0.8113207547169812,0.07547169811320754,0.7896244869310026,0.12118357655457712,-0.44375180083095167,normal
2017-01-13,55,0.7454545454545455,0.8545454545454545,0.10909090909090909,0.7677101417342147,0.11163241223202848,-0.19936500371783478,normal
2017-01-14,32,0.5625,0.78125,0.21875,0.7261461023253476,0.12743492573821533,-1.2841542565930435,normal
2017-01-15,48,0.7291666666666666,0.8333333333333334,0.10416666666666667,0.7121309508101961,0.11961432468505474,0.14242203767254225,normal
2017-01-16,445,0.8764044943820225,0.9056179775280899,0.029213483146067417,0.7161194716526494,0.12525146282324112,1.2797057943792036,normal
2017-01-17,179,0.7486033519553073,0.8212290502793296,0.07262569832402235,0.746139730723188,0.0977342683055394,0.025207343082750248,normal
2017-01-18,442,0.8823529411764706,0.9117647058823529,0.029411764705882353,0.7543330080341122,0.10737559568110902,1.192262844553247,normal
2017-01-19,99,0.7878787878787878,0.8585858585858586,0.0707070707070707,0.7617658267876858,0.10768321333877284,0.24249797421024513,normal
2017-01-20,65,0.7846153846153846,0.8769230769230769,0.09230769230769231,0.7673602323820914,0.10771181410465264,0.1601973968846921,normal
2017-01-21,47,0.7446808510638298,0.8723404255319149,0.1276595744680851,0.7933860682483528,0.06247164688062238,-0.7796371572786333,normal
2017-01-22,17,0.7058823529411765,0.7058823529411765,0.0,0.7900597377161399,0.06692228990060763,-1.2578377831957466,normal
2017-01-23,527,0.8861480075901328,0.9070208728652751,0.020872865275142316,0.7914516681744413,0.06908392676559842,1.3707434398886424,normal
2017-01-24,143,0.916083916083916,0.9440559440559441,0.027972027972027972,0.8153774630499571,0.07992251144838618,1.2600511571635864,normal
2017-01-25,80,0.825,0.8875,0.0625,0.8071841857390325,0.07468000291547085,0.2385620456005191,normal
2017-01-26,58,0.8275862068965517,0.8793103448275862,0.05172413793103448,0.8128566741701416,0.07447697767150424,0.19777296537700104,normal
2017-01-27,122,0.8360655737704918,0.8770491803278688,0.040983606557377046,0.8202067011922998,0.07376069811994364,0.2150043720085684,normal
2017-01-28,91,0.8571428571428571,0.9010989010989011,0.04395604395604396,0.8362727020607323,0.06645443854538381,0.31405208649640265,normal
2017-01-29,58,0.896551724137931,0.9482758620689655,0.05172413793103448,0.8635111836602686,0.03636740210320893,0.908520778687876,normal
2017-01-30,242,0.8471074380165289,0.8966942148760331,0.049586776859504134,0.8579339594354681,0.03529505791078935,-0.3067432683154683,normal
2017-01-31,70,0.9428571428571428,0.9428571428571428,0.0,0.8617587061173576,0.04320990529100647,1.8768482872991792,normal
2017-02-01,47,0.7021276595744681,0.7872340425531915,0.0851063829787234,0.844205514627996,0.07436020700646623,-1.9106705154972612,normal
2017-02-02,37,0.8108108108108109,0.8918918918918919,0.08108108108108109,0.8418090294728902,0.07525007772104694,-0.41193603516251664,normal
2017-02-03,274,0.8941605839416058,0.927007299270073,0.032846715328467155,0.850108316640192,0.07767560318575979,0.5671313191616107,normal
2017-02-04,150,0.8266666666666667,0.8733333333333333,0.04666666666666667,0.8457545751435935,0.07806870555253764,-0.24450140862245173,normal
2017-02-05,65,0.8,0.8307692307692308,0.03076923076923077,0.8319614716953175,0.0761026933397311,-0.419978193841811,normal
2017-02-06,63,0.6666666666666666,0.8095238095238095,0.14285714285714285,0.8061842186453374,0.09763147072145371,-1.4290223321199333,normal
2017-02-07,39,0.6410256410256411,0.7948717948717948,0.15384615384615385,0.7630654326694085,0.09378582344176023,-1.301260544132798,normal
2017-02-08,47,0.723404255319149,0.8297872340425532,0.10638297872340426,0.7661049463472202,0.09180560110649495,-0.46512076075334613,normal
2017-02-09,40,0.925,0.95,0.025,0.7824176876599613,0.10951095487140175,1.301991316827367,normal
2017-02-10,44,0.7045454545454546,0.8181818181818182,0.11363636363636363,0.7553298120319398,0.10033048240658864,-0.5061707695242804,normal
2017-02-11,22,0.3181818181818182,0.5909090909090909,0.2727272727272727,0.6826891193912471,0.18684662351173023,-1.9508369718361283,normal
2017-02-12,42,0.8809523809523809,0.9285714285714286,0.047619047619047616,0.6942537452415872,0.19751804073073703,0.9452232060427701,normal
2017-02-13,164,0.7926829268292683,0.8536585365853658,0.06097560975609756,0.7122560681219589,0.20030765086268018,0.4015166588042395,normal
2017-02-14,45,0.6888888888888889,0.8222222222222222,0.13333333333333333,0.7190936749595657,0.19827754588576046,-0.1523358882406158,normal
2017-02-15,39,0.7948717948717948,0.8717948717948718,0.07692307692307693,0.7293033234670866,0.2003654973254065,0.32724432240058177,normal
2017-02-16,36,0.8333333333333334,0.9166666666666666,0.08333333333333333,0.7162080853718484,0.18806144919152168,0.6228030702996692,normal
2017-02-17,148,0.8378378378378378,0.8851351351351351,0.0472972972972973,0.7352498544136175,0.1933573156022964,0.5305616862990934,normal
2017-02-18,66,0.8484848484848485,0.8787878787878788,0.030303030303030304,0.8110074301711933,0.06194655495527961,0.6049960056812023,normal
2017-02-19,29,0.896551724137931,0.896551724137931,0.0,0.813235907769129,0.065083307292293,1.2801410966198405,normal
2017-02-20,38,0.5263157894736842,0.7368421052631579,0.21052631578947367,0.7751834595754741,0.12726601332842194,-1.9554919934481128,normal
2017-02-21,31,0.7741935483870968,0.8387096774193549,0.06451612903225806,0.7873698395037895,0.121582962687307,-0.10837284127201395,normal
